domainName,idKab,idParent,idPro,idWilayah,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah
bekasikab,31685,26141,26141,31685,3216,321600,3216000000,32,BEKASI,JAWA BARAT,BEKASI,2
bandungbaratkab,31896,26141,26141,31896,3217,321700,3217000000,32,BANDUNG BARAT,JAWA BARAT,BANDUNG BARAT,2
bogorkota,32077,26141,26141,32077,3271,327100,3271000000,32,KOTA BOGOR,JAWA BARAT,KOTA BOGOR,2
sukabumikota,32152,26141,26141,32152,3272,327200,3272000000,32,KOTA SUKABUMI,JAWA BARAT,KOTA SUKABUMI,2
bandungkota,32193,26141,26141,32193,3273,327300,3273000000,32,KOTA BANDUNG,JAWA BARAT,KOTA BANDUNG,2
cirebonkota,32375,26141,26141,32375,3274,327400,3274000000,32,KOTA CIREBON,JAWA BARAT,KOTA CIREBON,2
bekasikota,32403,26141,26141,32403,3275,327500,3275000000,32,KOTA BEKASI,JAWA BARAT,KOTA BEKASI,2
depokkota,32472,26141,26141,32472,3276,327600,3276000000,32,KOTA DEPOK,JAWA BARAT,KOTA DEPOK,2
cimahikota,32547,26141,26141,32547,3277,327700,3277000000,32,KOTA CIMAHI,JAWA BARAT,KOTA CIMAHI,2
tasikmalayakota,32566,26141,26141,32566,3278,327800,3278000000,32,KOTA TASIKMALAYA,JAWA BARAT,KOTA TASIKMALAYA,2
banjarkota,32646,26141,26141,32646,3279,327900,3279000000,32,KOTA BANJAR,JAWA BARAT,KOTA BANJAR,2
pangandarankab,927964,26141,26141,927964,3218,321800,3218000000,32,PANGANDARAN,JAWA BARAT,PANGANDARAN,2
bangkakab,24994,24993,24993,24994,1901,190100,1901000000,19,BANGKA,KEPULAUAN BANGKA BELITUNG,BANGKA,2
belitungkab,25072,24993,24993,25072,1902,190200,1902000000,19,BELITUNG,KEPULAUAN BANGKA BELITUNG,BELITUNG,2
bangkaselatankab,25120,24993,24993,25120,1903,190300,1903000000,19,BANGKA SELATAN,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,2
bangkatengahkab,25181,24993,24993,25181,1904,190400,1904000000,19,BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,2
bangkabaratkab,25245,24993,24993,25245,1905,190500,1905000000,19,BANGKA BARAT,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,2
belitungtimurkab,25316,24993,24993,25316,1906,190600,1906000000,19,BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,2
pangkalpinangkota,25363,24993,24993,25363,1971,197100,1971000000,19,KOTA PANGKALPINANG,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,2
kepseribukab,25824,25823,25823,25824,3101,310100,3101000000,31,KEPULAUAN SERIBU,DKI JAKARTA,KEPULAUAN SERIBU,2
jakpuskota,25833,25823,25823,25833,3171,317100,3171000000,31,JAKARTA PUSAT,DKI JAKARTA,JAKARTA PUSAT,2
jakutkota,25886,25823,25823,25886,3172,317200,3172000000,31,JAKARTA UTARA,DKI JAKARTA,JAKARTA UTARA,2
jakbarkota,25924,25823,25823,25924,3173,317300,3173000000,31,JAKARTA BARAT,DKI JAKARTA,JAKARTA BARAT,2
jakselkota,25989,25823,25823,25989,3174,317400,3174000000,31,JAKARTA SELATAN,DKI JAKARTA,JAKARTA SELATAN,2
jaktimkota,26065,25823,25823,26065,3175,317500,3175000000,31,JAKARTA TIMUR,DKI JAKARTA,JAKARTA TIMUR,2
cilacapkab,32677,32676,32676,32677,3301,330100,3301000000,33,CILACAP,JAWA TENGAH,CILACAP,2
banyumaskab,32986,32676,32676,32986,3302,330200,3302000000,33,BANYUMAS,JAWA TENGAH,BANYUMAS,2
purbalinggakab,33345,32676,32676,33345,3303,330300,3303000000,33,PURBALINGGA,JAWA TENGAH,PURBALINGGA,2
banjarnegarakab,33603,32676,32676,33603,3304,330400,3304000000,33,BANJARNEGARA,JAWA TENGAH,BANJARNEGARA,2
kebumenkab,33902,32676,32676,33902,3305,330500,3305000000,33,KEBUMEN,JAWA TENGAH,KEBUMEN,2
purworejokab,34389,32676,32676,34389,3306,330600,3306000000,33,PURWOREJO,JAWA TENGAH,PURWOREJO,2
wonosobokab,34900,32676,32676,34900,3307,330700,3307000000,33,WONOSOBO,JAWA TENGAH,WONOSOBO,2
magelangkab,35181,32676,32676,35181,3308,330800,3308000000,33,MAGELANG,JAWA TENGAH,MAGELANG,2
boyolalikab,35575,32676,32676,35575,3309,330900,3309000000,33,BOYOLALI,JAWA TENGAH,BOYOLALI,2
klatenkab,35862,32676,32676,35862,3310,331000,3310000000,33,KLATEN,JAWA TENGAH,KLATEN,2
sukoharjokab,36290,32676,32676,36290,3311,331100,3311000000,33,SUKOHARJO,JAWA TENGAH,SUKOHARJO,2
wonogirikab,36470,32676,32676,36470,3312,331200,3312000000,33,WONOGIRI,JAWA TENGAH,WONOGIRI,2
karanganyarkab,36790,32676,32676,36790,3313,331300,3313000000,33,KARANGANYAR,JAWA TENGAH,KARANGANYAR,2
sragenkab,36985,32676,32676,36985,3314,331400,3314000000,33,SRAGEN,JAWA TENGAH,SRAGEN,2
