domainName,idKab,idParent,idPro,idWilayah_1,kodeKab,kodeKec,kodeKel,kodePro,namaKab,namaPro,namaWilayah,tingkatWilayah,alokasiKursi,alokasiSisaKursi,createdAt,createdBy,id,idVersi,idWilayah,jumlahPenduduk,nama,noDapil,parent,peringkatPenduduk,sisaPenduduk,statusCoterminous,tingkat,totalAlokasiKursi,updatedAt,updatedBy
simeuluekab,4086,1,1,4086,1109,110900,1109000000,11,SIMEULUE,ACEH,SIMEULUE,2,5,1,"Dec 31, 2017 3:48:33 PM",vici,5576,1350,4086,26369,SIMEULUE 1,1,-1,1,4039,False,2,6,"Dec 31, 2017 3:03:46 PM",hafizh
simeuluekab,4086,1,1,4086,1109,110900,1109000000,11,SIMEULUE,ACEH,SIMEULUE,2,5,0,"Dec 31, 2017 3:48:33 PM",vici,5577,1350,4086,23287,SIMEULUE 2,2,-1,4,957,False,2,5,"Dec 31, 2017 3:03:46 PM",hafizh
simeuluekab,4086,1,1,4086,1109,110900,1109000000,11,SIMEULUE,ACEH,SIMEULUE,2,5,0,"Dec 31, 2017 3:48:33 PM",vici,5578,1350,4086,24081,SIMEULUE 3,3,-1,3,1751,False,2,5,"Dec 31, 2017 3:03:46 PM",hafizh
simeuluekab,4086,1,1,4086,1109,110900,1109000000,11,SIMEULUE,ACEH,SIMEULUE,2,3,1,"Dec 31, 2017 3:48:33 PM",vici,5579,1350,4086,15590,SIMEULUE 4,4,-1,2,2192,False,2,4,"Dec 31, 2017 3:03:46 PM",hafizh
acehsingkilkab,4233,1,1,4233,1110,111000,1110000000,11,ACEH SINGKIL,ACEH,ACEH SINGKIL,2,8,0,"Dec 31, 2017 3:53:33 PM",vici,5580,1351,4233,42050,ACEH SINGKIL 1,1,-1,4,466,False,2,8,"Dec 31, 2017 10:41:00 AM",hafizh
acehsingkilkab,4233,1,1,4233,1110,111000,1110000000,11,ACEH SINGKIL,ACEH,ACEH SINGKIL,2,4,0,"Dec 31, 2017 3:53:33 PM",vici,5581,1351,4233,23589,ACEH SINGKIL 2,2,-1,3,2797,False,2,4,"Dec 31, 2017 10:41:00 AM",hafizh
acehsingkilkab,4233,1,1,4233,1110,111000,1110000000,11,ACEH SINGKIL,ACEH,ACEH SINGKIL,2,4,1,"Dec 31, 2017 3:53:33 PM",vici,5582,1351,4233,23711,ACEH SINGKIL 3,3,-1,2,2919,False,2,5,"Dec 31, 2017 10:41:00 AM",hafizh
acehsingkilkab,4233,1,1,4233,1110,111000,1110000000,11,ACEH SINGKIL,ACEH,ACEH SINGKIL,2,7,1,"Dec 31, 2017 3:53:33 PM",vici,5583,1351,4233,40613,ACEH SINGKIL 4,4,-1,1,4227,False,2,8,"Dec 31, 2017 10:41:00 AM",hafizh
bireuenkab,4362,1,1,4362,1111,111100,1111000000,11,BIREUEN,ACEH,BIREUEN,2,6,0,"Dec 31, 2017 3:55:21 PM",vici,5584,1352,4362,68069,BIREUEN 1,1,-1,5,3143,False,2,6,"Dec 31, 2017 2:29:44 PM",hafizh
bireuenkab,4362,1,1,4362,1111,111100,1111000000,11,BIREUEN,ACEH,BIREUEN,2,10,0,"Dec 31, 2017 3:55:21 PM",vici,5585,1352,4362,108325,BIREUEN 2,2,-1,6,115,False,2,10,"Dec 31, 2017 2:29:44 PM",hafizh
bireuenkab,4362,1,1,4362,1111,111100,1111000000,11,BIREUEN,ACEH,BIREUEN,2,5,1,"Dec 31, 2017 3:55:21 PM",vici,5586,1352,4362,61764,BIREUEN 3,3,-1,2,7659,False,2,6,"Dec 31, 2017 2:29:44 PM",hafizh
bireuenkab,4362,1,1,4362,1111,111100,1111000000,11,BIREUEN,ACEH,BIREUEN,2,5,1,"Dec 31, 2017 3:55:21 PM",vici,5587,1352,4362,61502,BIREUEN 4,4,-1,3,7397,False,2,6,"Dec 31, 2017 2:29:44 PM",hafizh
