idPro,namaPro,idKab,namaKab,totalAlokasiKursi
42385,JAWA TIMUR,48110,NGAWI,45
42385,JAWA TIMUR,48347,BOJONEGORO,50
42385,JAWA TIMUR,48805,TUBAN,50
42385,JAWA TIMUR,49154,LAMONGAN,50
42385,JAWA TIMUR,49656,GRESIK,50
42385,JAWA TIMUR,50031,BANGKALAN,50
42385,JAWA TIMUR,50331,SAMPANG,45
42385,JAWA TIMUR,50532,PAMEKASAN,45
42385,JAWA TIMUR,50735,SUMENEP,50
42385,JAWA TIMUR,51095,KOTA KEDIRI,30
42385,JAWA TIMUR,51145,KOTA BLITAR,25
42385,JAWA TIMUR,51170,KOTA MALANG,45
42385,JAWA TIMUR,51233,KOTA PROBOLINGGO,30
42385,JAWA TIMUR,51268,KOTA PASURUAN,30
42385,JAWA TIMUR,51306,KOTA MOJOKERTO,25
42385,JAWA TIMUR,51327,KOTA MADIUN,30
42385,JAWA TIMUR,51358,KOTA SURABAYA,50
42385,JAWA TIMUR,51550,KOTA BATU,30
51578,BANTEN,51579,PANDEGLANG,50
51578,BANTEN,51913,LEBAK,50
51578,BANTEN,52287,TANGERANG,50
51578,BANTEN,52593,SERANG,50
51578,BANTEN,52936,KOTA TANGERANG,50
51578,BANTEN,53054,KOTA CILEGON,40
51578,BANTEN,53106,KOTA SERANG,45
51578,BANTEN,53179,KOTA TANGERANG SELATAN,50
53241,BALI,53242,JEMBRANA,35
53241,BALI,53299,TABANAN,40
53241,BALI,53439,BADUNG,40
53241,BALI,53508,GIANYAR,40
53241,BALI,53586,KLUNGKUNG,30
53241,BALI,53650,BANGLI,30
53241,BALI,53727,KARANGASEM,45
53241,BALI,53814,BULELENG,45
53241,BALI,53972,KOTA DENPASAR,45
54020,NUSA TENGGARA BARAT,54021,LOMBOK BARAT,45
54020,NUSA TENGGARA BARAT,54123,LOMBOK TENGAH,50
54020,NUSA TENGGARA BARAT,54260,LOMBOK TIMUR,50
54020,NUSA TENGGARA BARAT,54400,SUMBAWA,45
54020,NUSA TENGGARA BARAT,54590,DOMPU,30
54020,NUSA TENGGARA BARAT,54666,BIMA,45
54020,NUSA TENGGARA BARAT,54853,SUMBAWA BARAT,25
54020,NUSA TENGGARA BARAT,54925,KOTA MATARAM,40
54020,NUSA TENGGARA BARAT,54982,KOTA BIMA,25
54020,NUSA TENGGARA BARAT,55026,LOMBOK UTARA,30
55065,NUSA TENGGARA TIMUR,55066,KUPANG,40
55065,NUSA TENGGARA TIMUR,55347,TIMOR TENGAH SELATAN,40
55065,NUSA TENGGARA TIMUR,55620,TIMOR TENGAH UTARA,30
55065,NUSA TENGGARA TIMUR,55819,BELU,30
55065,NUSA TENGGARA TIMUR,56051,ALOR,30
55065,NUSA TENGGARA TIMUR,56244,FLORES TIMUR,30
55065,NUSA TENGGARA TIMUR,56489,SIKKA,35
55065,NUSA TENGGARA TIMUR,56671,ENDE,30
55065,NUSA TENGGARA TIMUR,56904,NGADA,25
55065,NUSA TENGGARA TIMUR,57008,MANGGARAI,35
55065,NUSA TENGGARA TIMUR,57167,SUMBA TIMUR,30
55065,NUSA TENGGARA TIMUR,57346,SUMBA BARAT,25
55065,NUSA TENGGARA TIMUR,57406,LEMBATA,25
55065,NUSA TENGGARA TIMUR,57560,ROTE NDAO,25
55065,NUSA TENGGARA TIMUR,57649,MANGGARAI BARAT,30
55065,NUSA TENGGARA TIMUR,57778,NAGEKEO,25
55065,NUSA TENGGARA TIMUR,57886,SUMBA TENGAH,20
55065,NUSA TENGGARA TIMUR,57935,SUMBA BARAT DAYA,35
55065,NUSA TENGGARA TIMUR,58040,KOTA KUPANG,40
55065,NUSA TENGGARA TIMUR,58098,MANGGARAI TIMUR,30
