jenisPemilihan,dapil_id,nama_dapil,id_provinsi,nama_provinsi,kode_kabkota,nama_kabkota
DPRD Provinsi,192,JAWA TENGAH  5,32676,JAWA TENGAH,,
DPRD Provinsi,193,JAWA TENGAH  6,32676,JAWA TENGAH,,
DPRD Provinsi,194,JAWA TENGAH  7,32676,JAWA TENGAH,,
DPRD Provinsi,195,JAWA TENGAH  8,32676,JAWA TENGAH,,
DPRD Provinsi,196,JAWA TENGAH  9,32676,JAWA TENGAH,,
DPRD Provinsi,197,JAWA TENGAH  10,32676,JAWA TENGAH,,
DPRD Provinsi,198,JAWA TENGAH  11,32676,JAWA TENGAH,,
DPRD Provinsi,199,JAWA TENGAH  12,32676,JAWA TENGAH,,
DPRD Provinsi,200,JAWA TENGAH  13,32676,JAWA TENGAH,,
DPRD Provinsi,201,DAERAH ISTIMEWA YOGYAKARTA  1,41863,DAERAH ISTIMEWA YOGYAKARTA,,
DPRD Provinsi,202,DAERAH ISTIMEWA YOGYAKARTA  2,41863,DAERAH ISTIMEWA YOGYAKARTA,,
DPRD Provinsi,203,DAERAH ISTIMEWA YOGYAKARTA  3,41863,DAERAH ISTIMEWA YOGYAKARTA,,
DPRD Provinsi,204,DAERAH ISTIMEWA YOGYAKARTA  4,41863,DAERAH ISTIMEWA YOGYAKARTA,,
DPRD Provinsi,205,DAERAH ISTIMEWA YOGYAKARTA  5,41863,DAERAH ISTIMEWA YOGYAKARTA,,
DPRD Provinsi,206,DAERAH ISTIMEWA YOGYAKARTA  6,41863,DAERAH ISTIMEWA YOGYAKARTA,,
DPRD Provinsi,207,DAERAH ISTIMEWA YOGYAKARTA  7,41863,DAERAH ISTIMEWA YOGYAKARTA,,
DPRD Provinsi,208,JAWA TIMUR  1,42385,JAWA TIMUR,,
DPRD Provinsi,209,JAWA TIMUR  2,42385,JAWA TIMUR,,
DPRD Provinsi,210,JAWA TIMUR  3,42385,JAWA TIMUR,,
DPRD Provinsi,211,JAWA TIMUR  4,42385,JAWA TIMUR,,
DPRD Provinsi,212,JAWA TIMUR  5,42385,JAWA TIMUR,,
DPRD Provinsi,213,JAWA TIMUR  6,42385,JAWA TIMUR,,
DPRD Provinsi,214,JAWA TIMUR  7,42385,JAWA TIMUR,,
DPRD Provinsi,215,JAWA TIMUR  8,42385,JAWA TIMUR,,
DPRD Provinsi,216,JAWA TIMUR  9,42385,JAWA TIMUR,,
DPRD Provinsi,217,JAWA TIMUR  10,42385,JAWA TIMUR,,
DPRD Provinsi,218,JAWA TIMUR  11,42385,JAWA TIMUR,,
DPRD Provinsi,219,JAWA TIMUR  12,42385,JAWA TIMUR,,
DPRD Provinsi,220,JAWA TIMUR  13,42385,JAWA TIMUR,,
DPRD Provinsi,221,JAWA TIMUR  14,42385,JAWA TIMUR,,
DPRD Provinsi,222,BANTEN  1,51578,BANTEN,,
DPRD Provinsi,223,BANTEN  2,51578,BANTEN,,
DPRD Provinsi,224,BANTEN  3,51578,BANTEN,,
DPRD Provinsi,225,BANTEN  4,51578,BANTEN,,
DPRD Provinsi,226,BANTEN  5,51578,BANTEN,,
DPRD Provinsi,227,BANTEN  6,51578,BANTEN,,
DPRD Provinsi,228,BANTEN  7,51578,BANTEN,,
DPRD Provinsi,229,BANTEN  8,51578,BANTEN,,
DPRD Provinsi,230,BANTEN  9,51578,BANTEN,,
DPRD Provinsi,231,BANTEN  10,51578,BANTEN,,
DPRD Provinsi,232,BALI  1,53241,BALI,,
DPRD Provinsi,233,BALI  2,53241,BALI,,
DPRD Provinsi,234,BALI  3,53241,BALI,,
DPRD Provinsi,235,BALI  4,53241,BALI,,
DPRD Provinsi,236,BALI  5,53241,BALI,,
DPRD Provinsi,237,BALI  6,53241,BALI,,
DPRD Provinsi,238,BALI  7,53241,BALI,,
DPRD Provinsi,239,BALI  8,53241,BALI,,
DPRD Provinsi,240,BALI  9,53241,BALI,,
DPRD Provinsi,241,NUSA TENGGARA BARAT  1,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,242,NUSA TENGGARA BARAT  2,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,243,NUSA TENGGARA BARAT  3,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,244,NUSA TENGGARA BARAT  4,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,245,NUSA TENGGARA BARAT  5,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,246,NUSA TENGGARA BARAT  6,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,247,NUSA TENGGARA BARAT  7,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,248,NUSA TENGGARA BARAT  8,54020,NUSA TENGGARA BARAT,,
DPRD Provinsi,249,NUSA TENGGARA TIMUR  1,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,250,NUSA TENGGARA TIMUR  2,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,251,NUSA TENGGARA TIMUR  3,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,252,NUSA TENGGARA TIMUR  4,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,253,NUSA TENGGARA TIMUR  5,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,254,NUSA TENGGARA TIMUR  6,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,255,NUSA TENGGARA TIMUR  7,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,256,NUSA TENGGARA TIMUR  8,55065,NUSA TENGGARA TIMUR,,
DPRD Provinsi,257,KALIMANTAN BARAT  1,58285,KALIMANTAN BARAT,,
DPRD Provinsi,258,KALIMANTAN BARAT  2,58285,KALIMANTAN BARAT,,
DPRD Provinsi,259,KALIMANTAN BARAT  3,58285,KALIMANTAN BARAT,,
DPRD Provinsi,260,KALIMANTAN BARAT  4,58285,KALIMANTAN BARAT,,
DPRD Provinsi,261,KALIMANTAN BARAT  5,58285,KALIMANTAN BARAT,,
DPRD Provinsi,262,KALIMANTAN BARAT  6,58285,KALIMANTAN BARAT,,
DPRD Provinsi,263,KALIMANTAN BARAT  7,58285,KALIMANTAN BARAT,,
DPRD Provinsi,264,KALIMANTAN BARAT  8,58285,KALIMANTAN BARAT,,
DPRD Provinsi,265,KALIMANTAN TENGAH  1,60371,KALIMANTAN TENGAH,,
DPRD Provinsi,266,KALIMANTAN TENGAH  2,60371,KALIMANTAN TENGAH,,
DPRD Provinsi,267,KALIMANTAN TENGAH  3,60371,KALIMANTAN TENGAH,,
DPRD Provinsi,268,KALIMANTAN TENGAH  4,60371,KALIMANTAN TENGAH,,
DPRD Provinsi,269,KALIMANTAN TENGAH  5,60371,KALIMANTAN TENGAH,,
DPRD Provinsi,270,KALIMANTAN SELATAN  1,61965,KALIMANTAN SELATAN,,
DPRD Provinsi,271,KALIMANTAN SELATAN  2,61965,KALIMANTAN SELATAN,,
DPRD Provinsi,272,KALIMANTAN SELATAN  3,61965,KALIMANTAN SELATAN,,
DPRD Provinsi,273,KALIMANTAN SELATAN  4,61965,KALIMANTAN SELATAN,,
DPRD Provinsi,274,KALIMANTAN SELATAN  5,61965,KALIMANTAN SELATAN,,
DPRD Provinsi,275,KALIMANTAN SELATAN  6,61965,KALIMANTAN SELATAN,,
DPRD Provinsi,276,KALIMANTAN SELATAN  7,61965,KALIMANTAN SELATAN,,
DPRD Provinsi,277,KALIMANTAN TIMUR  1,64111,KALIMANTAN TIMUR,,
DPRD Provinsi,278,KALIMANTAN TIMUR  2,64111,KALIMANTAN TIMUR,,
DPRD Provinsi,279,KALIMANTAN TIMUR  3,64111,KALIMANTAN TIMUR,,
DPRD Provinsi,280,KALIMANTAN TIMUR  4,64111,KALIMANTAN TIMUR,,
DPRD Provinsi,281,KALIMANTAN TIMUR  5,64111,KALIMANTAN TIMUR,,
DPRD Provinsi,282,KALIMANTAN TIMUR  6,64111,KALIMANTAN TIMUR,,
DPRD Provinsi,283,SULAWESI UTARA  1,65702,SULAWESI UTARA,,
DPRD Provinsi,284,SULAWESI UTARA  2,65702,SULAWESI UTARA,,
DPRD Provinsi,285,SULAWESI UTARA  3,65702,SULAWESI UTARA,,
DPRD Provinsi,286,SULAWESI UTARA  4,65702,SULAWESI UTARA,,
DPRD Provinsi,287,SULAWESI UTARA  5,65702,SULAWESI UTARA,,
DPRD Provinsi,288,SULAWESI UTARA  6,65702,SULAWESI UTARA,,
DPRD Provinsi,289,SULAWESI TENGAH  1,67393,SULAWESI TENGAH,,
DPRD Provinsi,290,SULAWESI TENGAH  2,67393,SULAWESI TENGAH,,
DPRD Provinsi,291,SULAWESI TENGAH  3,67393,SULAWESI TENGAH,,
DPRD Provinsi,292,SULAWESI TENGAH  4,67393,SULAWESI TENGAH,,
DPRD Provinsi,293,SULAWESI TENGAH  5,67393,SULAWESI TENGAH,,
DPRD Provinsi,294,SULAWESI TENGAH  6,67393,SULAWESI TENGAH,,
DPRD Provinsi,295,SULAWESI SELATAN  1,69268,SULAWESI SELATAN,,
DPRD Provinsi,296,SULAWESI SELATAN  2,69268,SULAWESI SELATAN,,
DPRD Provinsi,297,SULAWESI SELATAN  3,69268,SULAWESI SELATAN,,
DPRD Provinsi,298,SULAWESI SELATAN  4,69268,SULAWESI SELATAN,,
DPRD Provinsi,299,SULAWESI SELATAN  5,69268,SULAWESI SELATAN,,
DPRD Provinsi,300,SULAWESI SELATAN  6,69268,SULAWESI SELATAN,,
DPRD Provinsi,301,SULAWESI SELATAN  7,69268,SULAWESI SELATAN,,
DPRD Provinsi,302,SULAWESI SELATAN  8,69268,SULAWESI SELATAN,,
DPRD Provinsi,303,SULAWESI SELATAN  9,69268,SULAWESI SELATAN,,
DPRD Provinsi,304,SULAWESI SELATAN  10,69268,SULAWESI SELATAN,,
DPRD Provinsi,305,SULAWESI SELATAN  11,69268,SULAWESI SELATAN,,
DPRD Provinsi,306,SULAWESI TENGGARA  1,72551,SULAWESI TENGGARA,,
DPRD Provinsi,307,SULAWESI TENGGARA  2,72551,SULAWESI TENGGARA,,
DPRD Provinsi,308,SULAWESI TENGGARA  3,72551,SULAWESI TENGGARA,,
DPRD Provinsi,309,SULAWESI TENGGARA  4,72551,SULAWESI TENGGARA,,
DPRD Provinsi,310,SULAWESI TENGGARA  5,72551,SULAWESI TENGGARA,,
DPRD Provinsi,311,SULAWESI TENGGARA  6,72551,SULAWESI TENGGARA,,
DPRD Provinsi,312,GORONTALO  1,74716,GORONTALO,,
DPRD Provinsi,313,GORONTALO  2,74716,GORONTALO,,
DPRD Provinsi,314,GORONTALO  3,74716,GORONTALO,,
DPRD Provinsi,315,GORONTALO  4,74716,GORONTALO,,
DPRD Provinsi,316,GORONTALO  5,74716,GORONTALO,,
DPRD Provinsi,317,GORONTALO  6,74716,GORONTALO,,
DPRD Provinsi,318,SULAWESI BARAT  1,75425,SULAWESI BARAT,,
DPRD Provinsi,319,SULAWESI BARAT  2,75425,SULAWESI BARAT,,
DPRD Provinsi,320,SULAWESI BARAT  3,75425,SULAWESI BARAT,,
DPRD Provinsi,321,SULAWESI BARAT  4,75425,SULAWESI BARAT,,
DPRD Provinsi,322,SULAWESI BARAT  5,75425,SULAWESI BARAT,,
DPRD Provinsi,323,SULAWESI BARAT  6,75425,SULAWESI BARAT,,
DPRD Provinsi,324,SULAWESI BARAT  7,75425,SULAWESI BARAT,,
DPRD Provinsi,325,MALUKU  1,76096,MALUKU,,
DPRD Provinsi,326,MALUKU  2,76096,MALUKU,,
DPRD Provinsi,327,MALUKU  3,76096,MALUKU,,
DPRD Provinsi,328,MALUKU  4,76096,MALUKU,,
DPRD Provinsi,329,MALUKU  5,76096,MALUKU,,
DPRD Provinsi,330,MALUKU  6,76096,MALUKU,,
DPRD Provinsi,331,MALUKU  7,76096,MALUKU,,
DPRD Provinsi,332,MALUKU UTARA  1,77085,MALUKU UTARA,,
DPRD Provinsi,333,MALUKU UTARA  2,77085,MALUKU UTARA,,
DPRD Provinsi,334,MALUKU UTARA  3,77085,MALUKU UTARA,,
DPRD Provinsi,335,MALUKU UTARA  4,77085,MALUKU UTARA,,
DPRD Provinsi,336,MALUKU UTARA  5,77085,MALUKU UTARA,,
DPRD Provinsi,337,PAPUA  1,78203,PAPUA,,
DPRD Provinsi,338,PAPUA  2,78203,PAPUA,,
DPRD Provinsi,339,PAPUA  3,78203,PAPUA,,
