dapil_id,nama_dapil,kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
5654,SIMALUNGUN 4,9114,SIMALUNGUN,6728,SUMATERA UTARA
5655,SIMALUNGUN 5,9114,SIMALUNGUN,6728,SUMATERA UTARA
5656,SIMALUNGUN 6,9114,SIMALUNGUN,6728,SUMATERA UTARA
5638,ASAHAN 1,9497,ASAHAN,6728,SUMATERA UTARA
5639,ASAHAN 2,9497,ASAHAN,6728,SUMATERA UTARA
5640,ASAHAN 3,9497,ASAHAN,6728,SUMATERA UTARA
5641,ASAHAN 4,9497,ASAHAN,6728,SUMATERA UTARA
5642,ASAHAN 5,9497,ASAHAN,6728,SUMATERA UTARA
5643,ASAHAN 6,9497,ASAHAN,6728,SUMATERA UTARA
5644,ASAHAN 7,9497,ASAHAN,6728,SUMATERA UTARA
5633,LABUHANBATU 1,9727,LABUHANBATU,6728,SUMATERA UTARA
5634,LABUHANBATU 2,9727,LABUHANBATU,6728,SUMATERA UTARA
5635,LABUHANBATU 3,9727,LABUHANBATU,6728,SUMATERA UTARA
5636,LABUHANBATU 4,9727,LABUHANBATU,6728,SUMATERA UTARA
5637,LABUHANBATU 5,9727,LABUHANBATU,6728,SUMATERA UTARA
5620,DAIRI 1,9835,DAIRI,6728,SUMATERA UTARA
5621,DAIRI 2,9835,DAIRI,6728,SUMATERA UTARA
5622,DAIRI 3,9835,DAIRI,6728,SUMATERA UTARA
5623,DAIRI 4,9835,DAIRI,6728,SUMATERA UTARA
5615,TOBA SAMOSIR 1,10020,TOBA SAMOSIR,6728,SUMATERA UTARA
5616,TOBA SAMOSIR 2,10020,TOBA SAMOSIR,6728,SUMATERA UTARA
5617,TOBA SAMOSIR 3,10020,TOBA SAMOSIR,6728,SUMATERA UTARA
5618,TOBA SAMOSIR 4,10020,TOBA SAMOSIR,6728,SUMATERA UTARA
5619,TOBA SAMOSIR 5,10020,TOBA SAMOSIR,6728,SUMATERA UTARA
3247,MANDAILING NATAL 1,10227,MANDAILING NATAL,6728,SUMATERA UTARA
3248,MANDAILING NATAL 2,10227,MANDAILING NATAL,6728,SUMATERA UTARA
3249,MANDAILING NATAL 3,10227,MANDAILING NATAL,6728,SUMATERA UTARA
3250,MANDAILING NATAL 4,10227,MANDAILING NATAL,6728,SUMATERA UTARA
3251,MANDAILING NATAL 5,10227,MANDAILING NATAL,6728,SUMATERA UTARA
3675,NIAS SELATAN 1,10646,NIAS SELATAN,6728,SUMATERA UTARA
3676,NIAS SELATAN 2,10646,NIAS SELATAN,6728,SUMATERA UTARA
3677,NIAS SELATAN 3,10646,NIAS SELATAN,6728,SUMATERA UTARA
3678,NIAS SELATAN 4,10646,NIAS SELATAN,6728,SUMATERA UTARA
3679,NIAS SELATAN 5,10646,NIAS SELATAN,6728,SUMATERA UTARA
3680,NIAS SELATAN 6,10646,NIAS SELATAN,6728,SUMATERA UTARA
3299,PAKPAK BHARAT 1,11022,PAKPAK BHARAT,6728,SUMATERA UTARA
3300,PAKPAK BHARAT 2,11022,PAKPAK BHARAT,6728,SUMATERA UTARA
3050,HUMBANG HASUNDUTAN 1,11083,HUMBANG HASUNDUTAN,6728,SUMATERA UTARA
3051,HUMBANG HASUNDUTAN 2,11083,HUMBANG HASUNDUTAN,6728,SUMATERA UTARA
3052,HUMBANG HASUNDUTAN 3,11083,HUMBANG HASUNDUTAN,6728,SUMATERA UTARA
3322,SAMOSIR 1,11247,SAMOSIR,6728,SUMATERA UTARA
3323,SAMOSIR 2,11247,SAMOSIR,6728,SUMATERA UTARA
3324,SAMOSIR 3,11247,SAMOSIR,6728,SUMATERA UTARA
3325,SAMOSIR 4,11247,SAMOSIR,6728,SUMATERA UTARA
7028,SERDANG BEDAGAI 1,11374,SERDANG BEDAGAI,6728,SUMATERA UTARA
7029,SERDANG BEDAGAI 2,11374,SERDANG BEDAGAI,6728,SUMATERA UTARA
7030,SERDANG BEDAGAI 3,11374,SERDANG BEDAGAI,6728,SUMATERA UTARA
7031,SERDANG BEDAGAI 4,11374,SERDANG BEDAGAI,6728,SUMATERA UTARA
7032,SERDANG BEDAGAI 5,11374,SERDANG BEDAGAI,6728,SUMATERA UTARA
6998,BATU BARA 1,11635,BATU BARA,6728,SUMATERA UTARA
6999,BATU BARA 2,11635,BATU BARA,6728,SUMATERA UTARA
7000,BATU BARA 3,11635,BATU BARA,6728,SUMATERA UTARA
7001,BATU BARA 4,11635,BATU BARA,6728,SUMATERA UTARA
7002,BATU BARA 5,11635,BATU BARA,6728,SUMATERA UTARA
6012,KOTA MEDAN 1,11743,KOTA MEDAN,6728,SUMATERA UTARA
6013,KOTA MEDAN 2,11743,KOTA MEDAN,6728,SUMATERA UTARA
6014,KOTA MEDAN 3,11743,KOTA MEDAN,6728,SUMATERA UTARA
6015,KOTA MEDAN 4,11743,KOTA MEDAN,6728,SUMATERA UTARA
6016,KOTA MEDAN 5,11743,KOTA MEDAN,6728,SUMATERA UTARA
5600,KOTA PEMATANGSIANTAR 1,11916,KOTA PEMATANGSIANTAR,6728,SUMATERA UTARA
5601,KOTA PEMATANGSIANTAR 2,11916,KOTA PEMATANGSIANTAR,6728,SUMATERA UTARA
