kode_kabkota,nama_kabkota,id_provinsi,nama_provinsi
57406,LEMBATA,55065,NUSA TENGGARA TIMUR
57560,ROTE NDAO,55065,NUSA TENGGARA TIMUR
57649,MANGGARAI BARAT,55065,NUSA TENGGARA TIMUR
57778,NAGEKEO,55065,NUSA TENGGARA TIMUR
57886,SUMBA TENGAH,55065,NUSA TENGGARA TIMUR
57935,SUMBA BARAT DAYA,55065,NUSA TENGGARA TIMUR
58040,KOTA KUPANG,55065,NUSA TENGGARA TIMUR
58098,MANGGARAI TIMUR,55065,NUSA TENGGARA TIMUR
58219,SABU RAIJUA,55065,NUSA TENGGARA TIMUR
928072,MALAKA,55065,NUSA TENGGARA TIMUR
58286,SAMBAS,58285,KALIMANTAN BARAT
58490,MEMPAWAH,58285,KALIMANTAN BARAT
58567,SANGGAU,58285,KALIMANTAN BARAT
58749,KETAPANG,58285,KALIMANTAN BARAT
59018,SINTANG,58285,KALIMANTAN BARAT
59320,KAPUAS HULU,58285,KALIMANTAN BARAT
59557,BENGKAYANG,58285,KALIMANTAN BARAT
59699,LANDAK,58285,KALIMANTAN BARAT
59869,SEKADAU,58285,KALIMANTAN BARAT
59953,MELAWI,58285,KALIMANTAN BARAT
60134,KAYONG UTARA,58285,KALIMANTAN BARAT
60183,KOTA PONTIANAK,58285,KALIMANTAN BARAT
60223,KOTA SINGKAWANG,58285,KALIMANTAN BARAT
60255,KUBU RAYA,58285,KALIMANTAN BARAT
60653,KAPUAS,60371,KALIMANTAN TENGAH
60372,KOTAWARINGIN BARAT,60371,KALIMANTAN TENGAH
60468,KOTAWARINGIN TIMUR,60371,KALIMANTAN TENGAH
60867,BARITO SELATAN,60371,KALIMANTAN TENGAH
60967,BARITO UTARA,60371,KALIMANTAN TENGAH
61077,KATINGAN,60371,KALIMANTAN TENGAH
61251,SERUYAN,60371,KALIMANTAN TENGAH
61362,SUKAMARA,60371,KALIMANTAN TENGAH
61400,LAMANDAU,60371,KALIMANTAN TENGAH
61492,GUNUNG MAS,60371,KALIMANTAN TENGAH
61614,PULANG PISAU,60371,KALIMANTAN TENGAH
61711,MURUNG RAYA,60371,KALIMANTAN TENGAH
61846,BARITO TIMUR,60371,KALIMANTAN TENGAH
61929,KOTA PALANGKARAYA,60371,KALIMANTAN TENGAH
61966,TANAH LAUT,61965,KALIMANTAN SELATAN
62112,KOTABARU,61965,KALIMANTAN SELATAN
62333,BANJAR,61965,KALIMANTAN SELATAN
62643,BARITO KUALA,61965,KALIMANTAN SELATAN
62861,TAPIN,61965,KALIMANTAN SELATAN
63007,HULU SUNGAI SELATAN,61965,KALIMANTAN SELATAN
63167,HULU SUNGAI TENGAH,61965,KALIMANTAN SELATAN
63348,HULU SUNGAI UTARA,61965,KALIMANTAN SELATAN
63578,TABALONG,61965,KALIMANTAN SELATAN
63722,TANAH BUMBU,61965,KALIMANTAN SELATAN
63866,BALANGAN,61965,KALIMANTAN SELATAN
64027,KOTA BANJARMASIN,61965,KALIMANTAN SELATAN
64085,KOTA BANJARBARU,61965,KALIMANTAN SELATAN
64112,PASER,64111,KALIMANTAN TIMUR
64248,KUTAI KARTANEGARA,64111,KALIMANTAN TIMUR
64496,BERAU,64111,KALIMANTAN TIMUR
65069,KUTAI BARAT,64111,KALIMANTAN TIMUR
65315,KUTAI TIMUR,64111,KALIMANTAN TIMUR
65469,PENAJAM PASER UTARA,64111,KALIMANTAN TIMUR
65528,KOTA BALIKPAPAN,64111,KALIMANTAN TIMUR
65567,KOTA SAMARINDA,64111,KALIMANTAN TIMUR
65656,KOTA BONTANG,64111,KALIMANTAN TIMUR
928073,MAHAKAM ULU,64111,KALIMANTAN TIMUR
65703,BOLAANG MONGONDOW TIMUR,65702,SULAWESI UTARA
65760,BOLAANG MONGONDOW SELATAN,65702,SULAWESI UTARA
65822,BOLAANG MONGONDOW,65702,SULAWESI UTARA
65974,MINAHASA,65702,SULAWESI UTARA
66188,KEPULAUAN SANGIHE,65702,SULAWESI UTARA
66371,KEPULAUAN TALAUD,65702,SULAWESI UTARA
66544,MINAHASA SELATAN,65702,SULAWESI UTARA
66718,MINAHASA UTARA,65702,SULAWESI UTARA
66853,MINAHASA TENGGARA,65702,SULAWESI UTARA
66936,BOLAANG MONGONDOW UTARA,65702,SULAWESI UTARA
67035,KEP. SIAU TAGULANDANG BIARO,65702,SULAWESI UTARA
67130,KOTA MANADO,65702,SULAWESI UTARA
67227,KOTA BITUNG,65702,SULAWESI UTARA
67305,KOTA TOMOHON,65702,SULAWESI UTARA
67355,KOTA KOTAMOBAGU,65702,SULAWESI UTARA
67394,SIGI,67393,SULAWESI TENGAH
67558,BANGGAI,67393,SULAWESI TENGAH
67866,POSO,67393,SULAWESI TENGAH
68041,DONGGALA,67393,SULAWESI TENGAH
68206,TOLITOLI,67393,SULAWESI TENGAH
68309,BUOL,67393,SULAWESI TENGAH
68428,MOROWALI,67393,SULAWESI TENGAH
68681,BANGGAI KEPULAUAN,67393,SULAWESI TENGAH
68887,PARIGI MOUTONG,67393,SULAWESI TENGAH
69089,TOJO UNA-UNA,67393,SULAWESI TENGAH
69220,KOTA PALU,67393,SULAWESI TENGAH
928074,BANGGAI LAUT,67393,SULAWESI TENGAH
928075,MOROWALI UTARA,67393,SULAWESI TENGAH
69269,TORAJA UTARA,69268,SULAWESI SELATAN
69442,KEPULAUAN SELAYAR,69268,SULAWESI SELATAN
69531,BULUKUMBA,69268,SULAWESI SELATAN
69668,BANTAENG,69268,SULAWESI SELATAN
69744,JENEPONTO,69268,SULAWESI SELATAN
69869,TAKALAR,69268,SULAWESI SELATAN
69962,GOWA,69268,SULAWESI SELATAN
70149,SINJAI,69268,SULAWESI SELATAN
70239,BONE,69268,SULAWESI SELATAN
70639,MAROS,69268,SULAWESI SELATAN
70757,PANGKAJENE DAN KEPULAUAN,69268,SULAWESI SELATAN
70873,BARRU,69268,SULAWESI SELATAN
70935,SOPPENG,69268,SULAWESI SELATAN
71014,WAJO,69268,SULAWESI SELATAN
71209,SIDENRENG RAPPANG,69268,SULAWESI SELATAN
71327,PINRANG,69268,SULAWESI SELATAN
71437,ENREKANG,69268,SULAWESI SELATAN
71579,LUWU,69268,SULAWESI SELATAN
71828,TANA TORAJA,69268,SULAWESI SELATAN
72007,LUWU UTARA,69268,SULAWESI SELATAN
72190,LUWU TIMUR,69268,SULAWESI SELATAN
72309,KOTA MAKASSAR,69268,SULAWESI SELATAN
72467,KOTA PARE PARE,69268,SULAWESI SELATAN
72493,KOTA PALOPO,69268,SULAWESI SELATAN
72552,KOLAKA,72551,SULAWESI TENGGARA
72786,KONAWE,72551,SULAWESI TENGGARA
73150,MUNA,72551,SULAWESI TENGGARA
73420,BUTON,72551,SULAWESI TENGGARA
